  illustration 1
 illustration velasquez 1
illustration velasquez head 1
velasquez head of 2
head of aesop 2
of aesop madrid 2
aesop madrid a 1
madrid a textbook 1
a textbook of 2
textbook of the 2
of the history 6
the history of 15
history of painting 10
of painting by 1
painting by john 1
by john c 1
john c van 2
c van dyke 5
van dyke lhd 1
dyke lhd professor 1
lhd professor of 1
professor of the 1
history of art 13
of art in 15
art in rutgers 2
in rutgers college 1
rutgers college and 1
college and author 1
and author of 1
author of art 1
of art for 2
art for arts 3
for arts sake 3
arts sake the 1
sake the meaning 1
the meaning of 2
meaning of pictures 1
of pictures etcprefacethe 1
pictures etcprefacethe object 1
etcprefacethe object of 1
object of this 1
of this series 1
this series of 2
series of textbooks 1
of textbooks is 1
textbooks is to 1
is to provide 1
to provide conciseteachable 1
provide conciseteachable histories 1
conciseteachable histories of 1
histories of art 1
art for classroom 1
for classroom use 1
classroom use in 1
use in schools 1
in schools and 1
schools and collegesthe 1
and collegesthe limited 1
collegesthe limited time 1
limited time given 1
time given to 1
given to the 2
to the study 1
the study of 8
study of art 1
art in the 5
in the average 1
the average educationalinstitution 1
average educationalinstitution has 1
educationalinstitution has not 1
has not only 1
not only dictated 1
only dictated the 1
dictated the condensed 1
the condensed style 1
condensed style of 1
style of the 1
of the volumesbut 1
the volumesbut has 1
volumesbut has limited 1
has limited their 1
limited their scope 1
their scope of 1
scope of matter 1
of matter to 1
matter to the 1
to the general 2
the general features 1
general features of 1
features of arthistory 1
of arthistory archaeological 1
arthistory archaeological discussions 1
archaeological discussions on 1
discussions on special 1
on special subjects 1
special subjects and 1
subjects and aesthetictheories 1
and aesthetictheories have 1
aesthetictheories have been 1
have been avoided 1
been avoided the 1
avoided the main 1
the main facts 1
main facts of 1
facts of history 1
of history as 1
history as settled 1
as settled bythe 1
settled bythe best 1
bythe best authorities 1
best authorities are 1
authorities are given 1
are given if 1
given if the 1
if the reader 1
the reader choose 1
reader choose to 1
choose to enter 1
to enter intoparticulars 1
enter intoparticulars the 1
intoparticulars the bibliography 1
the bibliography cited 1
bibliography cited at 1
cited at the 1
at the head 5
the head of 10
head of each 2
of each chapter 2
each chapter will 1
chapter will befound 1
will befound helpful 1
befound helpful illustrations 1
helpful illustrations have 1
illustrations have been 1
have been introduced 1
been introduced as 1
introduced as sighthelp 1
as sighthelp to 1
sighthelp to thetext 1
to thetext and 1
thetext and to 1
and to avoid 1
to avoid repetition 1
avoid repetition abbreviations 1
repetition abbreviations have 1
abbreviations have been 1
have been used 1
been used whereverpracticable 1
used whereverpracticable the 1
whereverpracticable the enumeration 1
the enumeration of 1
enumeration of the 1
of the principal 1
the principal extant 1
principal extant works 1
extant works of 1
works of anartist 1
of anartist school 1
anartist school or 1
school or period 1
or period and 1
period and where 1
and where they 1
where they may 1
they may be 3
may be found 3
be found which 1
found which followseach 1
which followseach chapter 1
followseach chapter may 1
chapter may be 1
may be serviceable 1
be serviceable not 1
serviceable not only 1
not only as 1
only as a 1
as a summary 1
a summary of 1
summary of individualor 1
of individualor school 1
individualor school achievement 1
school achievement but 1
achievement but for 1
but for reference 1
for reference by 1
reference by travelling 1
by travelling students 1
travelling students ineuropethis 1
students ineuropethis volume 1
ineuropethis volume on 1
volume on painting 1
on painting the 1
painting the first 1
the first of 5
first of the 3
of the series 2
the series omits 1
series omits mention 1
omits mention ofsuch 1
mention ofsuch work 1
ofsuch work in 1
work in arabic 1
in arabic indian 1
arabic indian chinese 1
indian chinese and 1
chinese and persian 1
and persian art 1
persian art as 1
art as may 1
as may comeproperly 1
may comeproperly under 1
comeproperly under the 1
under the head 2
head of ornamenta 1
of ornamenta subject 1
ornamenta subject proposed 1
subject proposed for 1
proposed for separatetreatment 1
for separatetreatment hereafter 1
separatetreatment hereafter in 1
hereafter in treating 1
in treating of 1
treating of individual 1
of individual painters 2
individual painters it 1
painters it has 1
it has beenthought 1
has beenthought best 1
beenthought best to 1
best to give 1
to give a 1
give a short 1
a short critical 1
short critical estimate 1
critical estimate of 1
estimate of the 1
of the man 2
the man and 1
man and his 1
